Unnamed: 0,delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
138,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,9.00390625,73.92578125,78.41796875,25.29296875,54.00390625,0.08938723941882501
139,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,49.90234375,78.41796875,25.29296875,54.00390625,0.059065066329753634
140,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,0.68359375,25.29296875,54.00390625,0.10612760581174985
141,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,32.12890625,54.00390625,0.06127605811749842
142,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,6.34765625,0.15034744156664562
143,0.6279296875,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.004737839545167404
144,0.8525390625,0.3759765625,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.04643082754264056
145,0.8525390625,0.4912109375,0.0791015625,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.021162349968414405
146,0.8525390625,0.4912109375,0.0576171875,7.32421875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.13076437144662034
147,0.8525390625,0.4912109375,0.0576171875,14.66796875,16.66015625,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.033796588755527476
148,0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,8.80859375,49.90234375,0.68359375,32.12890625,6.34765625,0.05653821857233102
