delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.2529296875,0.5009765625,0.2041015625,4.82421875,0.17578125,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.022102936532996525
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,1.50390625,36.42578125,65.91796875,12.79296875,66.50390625,0.0015787811809283233
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,62.40234375,65.91796875,12.79296875,66.50390625,0.049573729081149355
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,38.18359375,12.79296875,66.50390625,0.06694032207136091
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,19.62890625,66.50390625,0.06536154089043258
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,68.84765625,0.0
0.2529296875,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.05336280391537733
0.7275390625,0.5009765625,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.01357751815598358
0.7275390625,0.6162109375,0.2041015625,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.0006315124723713293
0.7275390625,0.6162109375,0.9326171875,4.82421875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.0034733185980423114
0.7275390625,0.6162109375,0.9326171875,12.16796875,4.16015625,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.04389011682980739
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,16.30859375,62.40234375,38.18359375,19.62890625,68.84765625,0.03315440479949479
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,36.42578125,38.18359375,19.62890625,68.84765625,0.06409851594568992
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,65.91796875,19.62890625,68.84765625,0.06567729712661825
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,12.79296875,68.84765625,0.002841806125670982
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,66.50390625,0.023997473950110516
0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.03441742974423745
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.04452162930217872
0.1025390625,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.029365329965266813
0.3779296875,0.7412109375,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.012314493211240922
0.3779296875,0.1259765625,0.3076171875,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.008209662140827282
0.3779296875,0.1259765625,0.3291015625,19.66796875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.004104831070413641
0.3779296875,0.1259765625,0.3291015625,2.32421875,2.67578125,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.0
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,4.00390625,98.92578125,3.41796875,50.29296875,29.00390625,0.03410167350805179
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,74.90234375,3.41796875,50.29296875,29.00390625,0.030628354910009474
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,25.68359375,50.29296875,29.00390625,0.08367540258920114
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,57.12890625,29.00390625,0.023997473950110516
0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,31.34765625,0.017050836754025894
0.3779296875,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.024628986422481843
0.1025390625,0.1259765625,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.001894537417113988
0.1025390625,0.7412109375,0.3291015625,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.009788443321755604
0.1025390625,0.7412109375,0.3076171875,2.32421875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.050205241553520685
0.1025390625,0.7412109375,0.3076171875,19.66796875,1.66015625,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.06409851594568992
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,13.80859375,74.90234375,25.68359375,57.12890625,31.34765625,0.039469529523208084
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,98.92578125,25.68359375,57.12890625,31.34765625,0.0053678560151563
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,3.41796875,57.12890625,31.34765625,0.03378591727186612
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,50.29296875,31.34765625,0.08114935269971582
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,29.00390625,0.02305020524155352
0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.013893274392169246
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.029365329965266813
0.6025390625,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.05304704767919166
0.8779296875,0.2412109375,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.0
0.8779296875,0.6259765625,0.8076171875,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.07357120303125987
0.8779296875,0.6259765625,0.8291015625,9.66796875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.011998736975055258
0.8779296875,0.6259765625,0.8291015625,12.32421875,12.67578125,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.13482791285127882
